
  1%|█▍                                                                                                                            | 1113/100000 [00:22<24:49, 66.39it/s]
epoch 32100  training loss: 0.08319047093391418

 32%|████████████████████████████████████████▏                                                                                    | 32170/100000 [11:08<27:48, 40.65it/s]
epoch 32200  training loss: 0.31280750036239624

 32%|████████████████████████████████████████▎                                                                                    | 32250/100000 [11:10<27:06, 41.66it/s]
epoch 32300  training loss: 0.07703322172164917


 32%|████████████████████████████████████████▌                                                                                    | 32400/100000 [11:14<26:28, 42.57it/s]
epoch 32400  training loss: 0.11253149062395096

 32%|████████████████████████████████████████▌                                                                                    | 32480/100000 [11:16<26:48, 41.98it/s]
epoch 32500  training loss: 0.09132181107997894

 33%|████████████████████████████████████████▋                                                                                    | 32565/100000 [11:18<26:24, 42.55it/s]
epoch 32600  training loss: 0.13072291016578674

 33%|████████████████████████████████████████▊                                                                                    | 32650/100000 [11:20<26:41, 42.04it/s]
epoch 32700  training loss: 0.1348620057106018

 33%|████████████████████████████████████████▉                                                                                    | 32735/100000 [11:22<26:53, 41.69it/s]
epoch 32800  training loss: 0.1154322400689125

 33%|█████████████████████████████████████████                                                                                    | 32820/100000 [11:24<26:37, 42.04it/s]
epoch 32900  training loss: 0.0885307788848877


 33%|█████████████████████████████████████████▏                                                                                   | 32990/100000 [11:28<26:27, 42.20it/s]
epoch 33000  training loss: 0.1313060075044632
epoch 33000  clean testing loss: 0.19035975635051727

 33%|█████████████████████████████████████████▎                                                                                   | 33075/100000 [11:30<26:18, 42.40it/s]
epoch 33100  training loss: 0.10083276778459549

 33%|█████████████████████████████████████████▍                                                                                   | 33160/100000 [11:32<27:02, 41.19it/s]
epoch 33200  training loss: 0.099028080701828

 33%|█████████████████████████████████████████▌                                                                                   | 33240/100000 [11:34<26:39, 41.73it/s]
epoch 33300  training loss: 0.06751608848571777

 33%|█████████████████████████████████████████▋                                                                                   | 33325/100000 [11:36<26:35, 41.78it/s]
epoch 33400  training loss: 0.06935188174247742


 33%|█████████████████████████████████████████▊                                                                                   | 33495/100000 [11:40<26:22, 42.03it/s]
epoch 33500  training loss: 0.14264756441116333

 34%|█████████████████████████████████████████▉                                                                                   | 33580/100000 [11:42<26:24, 41.91it/s]
epoch 33600  training loss: 0.08009376376867294

 34%|██████████████████████████████████████████                                                                                   | 33665/100000 [11:44<26:16, 42.08it/s]
epoch 33700  training loss: 0.09658852219581604

 34%|██████████████████████████████████████████▏                                                                                  | 33750/100000 [11:46<26:25, 41.79it/s]
epoch 33800  training loss: 0.0687498152256012

 34%|██████████████████████████████████████████▎                                                                                  | 33830/100000 [11:48<26:09, 42.15it/s]
epoch 33900  training loss: 0.07126327604055405


 34%|██████████████████████████████████████████▌                                                                                  | 34000/100000 [11:52<26:08, 42.09it/s]
epoch 34000  training loss: 0.09959808737039566
epoch 34000  clean testing loss: 0.16440637409687042

 34%|██████████████████████████████████████████▌                                                                                  | 34085/100000 [11:54<26:15, 41.84it/s]
epoch 34100  training loss: 0.07861749827861786

 34%|██████████████████████████████████████████▋                                                                                  | 34170/100000 [11:56<26:10, 41.92it/s]
epoch 34200  training loss: 0.0665171891450882

 34%|██████████████████████████████████████████▊                                                                                  | 34255/100000 [11:58<26:03, 42.04it/s]
epoch 34300  training loss: 0.12716072797775269

 34%|██████████████████████████████████████████▉                                                                                  | 34340/100000 [12:00<25:42, 42.57it/s]
epoch 34400  training loss: 0.12804600596427917

 34%|███████████████████████████████████████████                                                                                  | 34425/100000 [12:02<25:54, 42.19it/s]
epoch 34500  training loss: 0.0735248252749443


 35%|███████████████████████████████████████████▏                                                                                 | 34595/100000 [12:06<25:47, 42.25it/s]
epoch 34600  training loss: 0.07907217741012573

 35%|███████████████████████████████████████████▎                                                                                 | 34680/100000 [12:08<25:52, 42.08it/s]
epoch 34700  training loss: 0.07937449961900711

 35%|███████████████████████████████████████████▍                                                                                 | 34760/100000 [12:10<25:54, 41.96it/s]
epoch 34800  training loss: 0.09651730209589005

 35%|███████████████████████████████████████████▌                                                                                 | 34845/100000 [12:12<25:46, 42.12it/s]
epoch 34900  training loss: 0.1168796569108963

 35%|███████████████████████████████████████████▋                                                                                 | 34930/100000 [12:14<25:43, 42.14it/s]
epoch 35000  training loss: 0.10538355261087418
epoch 35000  clean testing loss: 0.1767706423997879


 35%|███████████████████████████████████████████▉                                                                                 | 35100/100000 [12:18<25:59, 41.61it/s]
epoch 35100  training loss: 0.08240248262882233

 35%|███████████████████████████████████████████▉                                                                                 | 35185/100000 [12:20<25:50, 41.81it/s]
epoch 35200  training loss: 0.07171362638473511

 35%|████████████████████████████████████████████                                                                                 | 35265/100000 [12:22<25:54, 41.64it/s]
epoch 35300  training loss: 0.07069150358438492

 35%|████████████████████████████████████████████▏                                                                                | 35350/100000 [12:24<25:41, 41.94it/s]
epoch 35400  training loss: 0.07453491538763046

 35%|████████████████████████████████████████████▎                                                                                | 35435/100000 [12:26<25:38, 41.97it/s]
epoch 35500  training loss: 0.13939082622528076


 36%|████████████████████████████████████████████▌                                                                                | 35605/100000 [12:30<25:58, 41.31it/s]
epoch 35600  training loss: 0.06957879662513733

 36%|████████████████████████████████████████████▌                                                                                | 35690/100000 [12:32<25:42, 41.69it/s]
epoch 35700  training loss: 0.0945856049656868

 36%|████████████████████████████████████████████▋                                                                                | 35770/100000 [12:34<25:40, 41.68it/s]
epoch 35800  training loss: 0.06384120881557465

 36%|████████████████████████████████████████████▊                                                                                | 35855/100000 [12:36<25:44, 41.54it/s]
epoch 35900  training loss: 0.06896401941776276

 36%|████████████████████████████████████████████▉                                                                                | 35940/100000 [12:38<25:08, 42.47it/s]
epoch 36000  training loss: 0.078823521733284
epoch 36000  clean testing loss: 0.1767122596502304


 36%|█████████████████████████████████████████████▏                                                                               | 36110/100000 [12:42<25:24, 41.91it/s]
epoch 36100  training loss: 0.059604234993457794

 36%|█████████████████████████████████████████████▏                                                                               | 36195/100000 [12:44<25:10, 42.25it/s]
epoch 36200  training loss: 0.055975690484046936

 36%|█████████████████████████████████████████████▎                                                                               | 36280/100000 [12:46<25:03, 42.38it/s]
epoch 36300  training loss: 0.05419682711362839

 36%|█████████████████████████████████████████████▍                                                                               | 36365/100000 [12:48<25:05, 42.28it/s]
epoch 36400  training loss: 0.059387631714344025

 36%|█████████████████████████████████████████████▌                                                                               | 36450/100000 [12:50<25:19, 41.81it/s]
epoch 36500  training loss: 0.07407605648040771

 37%|█████████████████████████████████████████████▋                                                                               | 36535/100000 [12:52<24:58, 42.36it/s]
epoch 36600  training loss: 0.11907219141721725


 37%|█████████████████████████████████████████████▉                                                                               | 36700/100000 [12:56<25:26, 41.47it/s]
epoch 36700  training loss: 0.10295460373163223

 37%|█████████████████████████████████████████████▉                                                                               | 36785/100000 [12:58<25:13, 41.78it/s]
epoch 36800  training loss: 0.09322719275951385

 37%|██████████████████████████████████████████████                                                                               | 36865/100000 [13:00<25:12, 41.73it/s]
epoch 36900  training loss: 0.09137891978025436

 37%|██████████████████████████████████████████████▏                                                                              | 36950/100000 [13:02<24:56, 42.12it/s]
epoch 37000  training loss: 0.10374291241168976
epoch 37000  clean testing loss: 0.19611164927482605

 37%|██████████████████████████████████████████████▎                                                                              | 37035/100000 [13:04<25:12, 41.62it/s]
epoch 37100  training loss: 0.10672204941511154


 37%|██████████████████████████████████████████████▌                                                                              | 37205/100000 [13:08<25:00, 41.86it/s]
epoch 37200  training loss: 0.0945146381855011

 37%|██████████████████████████████████████████████▌                                                                              | 37290/100000 [13:10<25:00, 41.79it/s]
epoch 37300  training loss: 0.0851781964302063

 37%|██████████████████████████████████████████████▋                                                                              | 37375/100000 [13:12<24:57, 41.81it/s]
epoch 37400  training loss: 0.1097225546836853

 37%|██████████████████████████████████████████████▊                                                                              | 37455/100000 [13:14<24:51, 41.94it/s]
epoch 37500  training loss: 0.05937303602695465

 38%|██████████████████████████████████████████████▉                                                                              | 37540/100000 [13:16<25:29, 40.83it/s]
epoch 37600  training loss: 0.060105036944150925


 38%|███████████████████████████████████████████████▏                                                                             | 37710/100000 [13:20<24:24, 42.55it/s]
epoch 37700  training loss: 0.05348588153719902

 38%|███████████████████████████████████████████████▏                                                                             | 37795/100000 [13:22<24:16, 42.71it/s]
epoch 37800  training loss: 0.08212419599294662

 38%|███████████████████████████████████████████████▎                                                                             | 37880/100000 [13:24<24:14, 42.72it/s]
epoch 37900  training loss: 0.08361499756574631

 38%|███████████████████████████████████████████████▍                                                                             | 37965/100000 [13:26<24:20, 42.47it/s]
epoch 38000  training loss: 0.08315891027450562
epoch 38000  clean testing loss: 0.18460457026958466

 38%|███████████████████████████████████████████████▌                                                                             | 38045/100000 [13:28<24:35, 41.99it/s]
epoch 38100  training loss: 0.11924774199724197

 38%|███████████████████████████████████████████████▋                                                                             | 38135/100000 [13:30<24:18, 42.42it/s]
epoch 38200  training loss: 0.06622544676065445


 38%|███████████████████████████████████████████████▉                                                                             | 38300/100000 [13:34<24:34, 41.85it/s]
epoch 38300  training loss: 0.1353752464056015

 38%|███████████████████████████████████████████████▉                                                                             | 38385/100000 [13:36<24:33, 41.81it/s]
epoch 38400  training loss: 0.05445383861660957

 38%|████████████████████████████████████████████████                                                                             | 38470/100000 [13:38<24:29, 41.86it/s]
epoch 38500  training loss: 0.056961946189403534

 39%|████████████████████████████████████████████████▏                                                                            | 38555/100000 [13:40<23:52, 42.89it/s]
epoch 38600  training loss: 0.06489337235689163

 39%|████████████████████████████████████████████████▎                                                                            | 38640/100000 [13:42<24:14, 42.18it/s]
epoch 38700  training loss: 0.06157401576638222


 39%|████████████████████████████████████████████████▌                                                                            | 38810/100000 [13:46<23:52, 42.72it/s]
epoch 38800  training loss: 0.0684666633605957

 39%|████████████████████████████████████████████████▌                                                                            | 38895/100000 [13:48<24:23, 41.74it/s]
epoch 38900  training loss: 0.08434073626995087

 39%|████████████████████████████████████████████████▋                                                                            | 38980/100000 [13:50<24:22, 41.72it/s]
epoch 39000  training loss: 0.11721882224082947
epoch 39000  clean testing loss: 0.19617365300655365

 39%|████████████████████████████████████████████████▊                                                                            | 39060/100000 [13:52<23:53, 42.50it/s]
epoch 39100  training loss: 0.04644934460520744

 39%|████████████████████████████████████████████████▉                                                                            | 39150/100000 [13:54<23:49, 42.57it/s]
epoch 39200  training loss: 0.05637763440608978


 39%|█████████████████████████████████████████████████▏                                                                           | 39315/100000 [13:58<23:25, 43.17it/s]
epoch 39300  training loss: 0.06023662909865379

 39%|█████████████████████████████████████████████████▎                                                                           | 39400/100000 [14:00<23:40, 42.67it/s]
epoch 39400  training loss: 0.04921892657876015

 39%|█████████████████████████████████████████████████▎                                                                           | 39485/100000 [14:02<23:53, 42.22it/s]
epoch 39500  training loss: 0.06478481739759445

 40%|█████████████████████████████████████████████████▍                                                                           | 39570/100000 [14:04<24:09, 41.69it/s]
epoch 39600  training loss: 0.08005528897047043

 40%|█████████████████████████████████████████████████▌                                                                           | 39655/100000 [14:06<24:12, 41.54it/s]
epoch 39700  training loss: 0.05701104924082756

 40%|█████████████████████████████████████████████████▋                                                                           | 39740/100000 [14:08<23:57, 41.93it/s]
epoch 39800  training loss: 0.04533045366406441


 40%|█████████████████████████████████████████████████▊                                                                           | 39885/100000 [14:12<24:12, 41.39it/s]
epoch 39900  training loss: 0.08248408138751984

 40%|█████████████████████████████████████████████████▉                                                                           | 39970/100000 [14:14<23:59, 41.70it/s]
epoch 40000  training loss: 0.07974541932344437
epoch 40000  clean testing loss: 0.17572806775569916

 40%|██████████████████████████████████████████████████                                                                           | 40055/100000 [14:16<23:42, 42.15it/s]
epoch 40100  training loss: 0.05220220610499382

 40%|██████████████████████████████████████████████████▏                                                                          | 40140/100000 [14:18<23:44, 42.03it/s]
epoch 40200  training loss: 0.04298076778650284

 40%|██████████████████████████████████████████████████▎                                                                          | 40220/100000 [14:20<24:23, 40.84it/s]
epoch 40300  training loss: 0.05804389342665672


 40%|██████████████████████████████████████████████████▍                                                                          | 40390/100000 [14:24<23:43, 41.87it/s]
epoch 40400  training loss: 0.0959811583161354

 40%|██████████████████████████████████████████████████▌                                                                          | 40475/100000 [14:26<23:44, 41.78it/s]
epoch 40500  training loss: 0.06789403408765793

 41%|██████████████████████████████████████████████████▋                                                                          | 40560/100000 [14:28<23:58, 41.33it/s]
epoch 40600  training loss: 0.04147716611623764

 41%|██████████████████████████████████████████████████▊                                                                          | 40640/100000 [14:30<23:25, 42.23it/s]
epoch 40700  training loss: 0.04371199011802673

 41%|██████████████████████████████████████████████████▉                                                                          | 40725/100000 [14:32<23:29, 42.04it/s]
epoch 40800  training loss: 0.05267651006579399


 41%|███████████████████████████████████████████████████                                                                          | 40895/100000 [14:36<23:30, 41.90it/s]
epoch 40900  training loss: 0.06429379433393478

 41%|███████████████████████████████████████████████████▏                                                                         | 40980/100000 [14:38<23:19, 42.16it/s]
epoch 41000  training loss: 0.09041830897331238
epoch 41000  clean testing loss: 0.18756414949893951

 41%|███████████████████████████████████████████████████▎                                                                         | 41065/100000 [14:40<22:53, 42.92it/s]
epoch 41100  training loss: 0.0873083844780922

 41%|███████████████████████████████████████████████████▍                                                                         | 41150/100000 [14:42<22:58, 42.70it/s]
epoch 41200  training loss: 0.05875266343355179

 41%|███████████████████████████████████████████████████▌                                                                         | 41235/100000 [14:44<23:00, 42.57it/s]
epoch 41300  training loss: 0.04678357020020485

 41%|███████████████████████████████████████████████████▋                                                                         | 41320/100000 [14:46<23:35, 41.45it/s]
epoch 41400  training loss: 0.057586051523685455


 41%|███████████████████████████████████████████████████▊                                                                         | 41490/100000 [14:50<23:04, 42.27it/s]
epoch 41500  training loss: 0.04344194382429123

 42%|███████████████████████████████████████████████████▉                                                                         | 41575/100000 [14:52<23:01, 42.28it/s]
epoch 41600  training loss: 0.0597054623067379

 42%|████████████████████████████████████████████████████                                                                         | 41660/100000 [14:54<23:18, 41.72it/s]
epoch 41700  training loss: 0.05862144008278847

 42%|████████████████████████████████████████████████████▏                                                                        | 41745/100000 [14:56<23:15, 41.73it/s]
epoch 41800  training loss: 0.07140788435935974

 42%|████████████████████████████████████████████████████▎                                                                        | 41825/100000 [14:58<22:50, 42.46it/s]
epoch 41900  training loss: 0.07215572148561478


 42%|████████████████████████████████████████████████████▍                                                                        | 41995/100000 [15:02<22:53, 42.24it/s]
epoch 42000  training loss: 0.0627593994140625
epoch 42000  clean testing loss: 0.18358545005321503

 42%|████████████████████████████████████████████████████▌                                                                        | 42080/100000 [15:04<22:58, 42.03it/s]
epoch 42100  training loss: 0.0391264446079731

 42%|████████████████████████████████████████████████████▋                                                                        | 42165/100000 [15:06<22:54, 42.08it/s]
epoch 42200  training loss: 0.07265298813581467

 42%|████████████████████████████████████████████████████▊                                                                        | 42250/100000 [15:08<22:40, 42.45it/s]
epoch 42300  training loss: 0.04655832797288895

 42%|████████████████████████████████████████████████████▉                                                                        | 42335/100000 [15:10<22:30, 42.71it/s]
epoch 42400  training loss: 0.05828167870640755


 43%|█████████████████████████████████████████████████████▏                                                                       | 42505/100000 [15:14<22:47, 42.04it/s]
epoch 42500  training loss: 0.044066134840250015

 43%|█████████████████████████████████████████████████████▏                                                                       | 42585/100000 [15:16<23:11, 41.25it/s]
epoch 42600  training loss: 0.04029247909784317

 43%|█████████████████████████████████████████████████████▎                                                                       | 42670/100000 [15:18<22:57, 41.61it/s]
epoch 42700  training loss: 0.06516485661268234

 43%|█████████████████████████████████████████████████████▍                                                                       | 42755/100000 [15:20<22:43, 41.97it/s]
epoch 42800  training loss: 0.048026833683252335

 43%|█████████████████████████████████████████████████████▌                                                                       | 42840/100000 [15:22<22:44, 41.89it/s]
epoch 42900  training loss: 0.04315417259931564

 43%|█████████████████████████████████████████████████████▋                                                                       | 42925/100000 [15:24<22:30, 42.27it/s]
epoch 43000  training loss: 0.042893119156360626
epoch 43000  clean testing loss: 0.1848449856042862


 43%|█████████████████████████████████████████████████████▊                                                                       | 43090/100000 [15:28<22:33, 42.05it/s]
epoch 43100  training loss: 0.05852089822292328

 43%|█████████████████████████████████████████████████████▉                                                                       | 43180/100000 [15:30<22:26, 42.18it/s]
epoch 43200  training loss: 0.043041910976171494

 43%|██████████████████████████████████████████████████████                                                                       | 43265/100000 [15:32<22:18, 42.39it/s]
epoch 43300  training loss: 0.03835079446434975

 43%|██████████████████████████████████████████████████████▏                                                                      | 43345/100000 [15:34<22:30, 41.94it/s]
epoch 43400  training loss: 0.07568405568599701

 43%|██████████████████████████████████████████████████████▎                                                                      | 43430/100000 [15:36<21:59, 42.88it/s]
epoch 43500  training loss: 0.04553304985165596


 44%|██████████████████████████████████████████████████████▌                                                                      | 43600/100000 [15:40<22:28, 41.83it/s]
epoch 43600  training loss: 0.059663791209459305

 44%|██████████████████████████████████████████████████████▌                                                                      | 43685/100000 [15:42<22:04, 42.52it/s]
epoch 43700  training loss: 0.06873471289873123

 44%|██████████████████████████████████████████████████████▋                                                                      | 43770/100000 [15:44<22:25, 41.79it/s]
epoch 43800  training loss: 0.05722404271364212

 44%|██████████████████████████████████████████████████████▊                                                                      | 43855/100000 [15:46<22:16, 42.01it/s]
epoch 43900  training loss: 0.03973647579550743

 44%|██████████████████████████████████████████████████████▉                                                                      | 43935/100000 [15:48<22:39, 41.25it/s]
epoch 44000  training loss: 0.041017066687345505
epoch 44000  clean testing loss: 0.2019539326429367


 44%|███████████████████████████████████████████████████████▏                                                                     | 44105/100000 [15:52<22:12, 41.94it/s]
epoch 44100  training loss: 0.04142479971051216

 44%|███████████████████████████████████████████████████████▏                                                                     | 44190/100000 [15:54<21:59, 42.30it/s]
epoch 44200  training loss: 0.049964193254709244

 44%|███████████████████████████████████████████████████████▎                                                                     | 44275/100000 [15:56<22:05, 42.05it/s]
epoch 44300  training loss: 0.062229566276073456

 44%|███████████████████████████████████████████████████████▍                                                                     | 44360/100000 [15:58<22:07, 41.91it/s]
epoch 44400  training loss: 0.06806770712137222

 44%|███████████████████████████████████████████████████████▌                                                                     | 44440/100000 [16:00<21:49, 42.42it/s]
epoch 44500  training loss: 0.04759145528078079


 45%|███████████████████████████████████████████████████████▊                                                                     | 44610/100000 [16:04<22:05, 41.78it/s]
epoch 44600  training loss: 0.04046269506216049

 45%|███████████████████████████████████████████████████████▊                                                                     | 44695/100000 [16:06<21:42, 42.45it/s]
epoch 44700  training loss: 0.041121743619441986

 45%|███████████████████████████████████████████████████████▉                                                                     | 44780/100000 [16:08<22:01, 41.77it/s]
epoch 44800  training loss: 0.07812968641519547

 45%|████████████████████████████████████████████████████████                                                                     | 44860/100000 [16:10<22:36, 40.64it/s]
epoch 44900  training loss: 0.0605606846511364

 45%|████████████████████████████████████████████████████████▏                                                                    | 44945/100000 [16:12<22:15, 41.23it/s]
epoch 45000  training loss: 0.038696810603141785
epoch 45000  clean testing loss: 0.18508866429328918


 45%|████████████████████████████████████████████████████████▍                                                                    | 45115/100000 [16:16<21:55, 41.72it/s]
epoch 45100  training loss: 0.046619512140750885

 45%|████████████████████████████████████████████████████████▌                                                                    | 45200/100000 [16:18<21:41, 42.10it/s]
epoch 45200  training loss: 0.03856885805726051

 45%|████████████████████████████████████████████████████████▌                                                                    | 45280/100000 [16:20<21:50, 41.75it/s]
epoch 45300  training loss: 0.07216396182775497

 45%|████████████████████████████████████████████████████████▋                                                                    | 45365/100000 [16:22<21:43, 41.93it/s]
epoch 45400  training loss: 0.043229106813669205

 45%|████████████████████████████████████████████████████████▊                                                                    | 45450/100000 [16:24<21:38, 42.02it/s]
epoch 45500  training loss: 0.07330594211816788

 46%|████████████████████████████████████████████████████████▉                                                                    | 45535/100000 [16:26<21:25, 42.38it/s]
epoch 45600  training loss: 0.04333211109042168


 46%|█████████████████████████████████████████████████████████▏                                                                   | 45705/100000 [16:31<21:32, 42.00it/s]
epoch 45700  training loss: 0.06870371848344803

 46%|█████████████████████████████████████████████████████████▏                                                                   | 45785/100000 [16:32<21:36, 41.82it/s]
epoch 45800  training loss: 0.0403289720416069

 46%|█████████████████████████████████████████████████████████▎                                                                   | 45870/100000 [16:34<21:06, 42.73it/s]
epoch 45900  training loss: 0.044316068291664124

 46%|█████████████████████████████████████████████████████████▍                                                                   | 45955/100000 [16:37<21:34, 41.74it/s]
epoch 46000  training loss: 0.050693973898887634
epoch 46000  clean testing loss: 0.18187786638736725

 46%|█████████████████████████████████████████████████████████▌                                                                   | 46040/100000 [16:39<21:28, 41.88it/s]
