
  1%|▍                                                                                | 575/100000 [00:01<03:47, 436.52it/s]
epoch 26900  training loss: 0.05731489509344101
epoch 26900  clean testing loss: 3.521841287612915
epoch 27000  training loss: 0.05724043771624565
epoch 27000  clean testing loss: 3.5256495475769043

 28%|██████████████████████▎                                                        | 28232/100000 [01:03<01:56, 616.70it/s]
epoch 27100  training loss: 0.057188354432582855
epoch 27100  clean testing loss: 3.5286343097686768
epoch 27200  training loss: 0.05714086443185806
epoch 27200  clean testing loss: 3.531447410583496
epoch 27300  training loss: 0.05709325522184372
epoch 27300  clean testing loss: 3.5342013835906982
epoch 27400  training loss: 0.057045530527830124
epoch 27400  clean testing loss: 3.5369181632995605
epoch 27500  training loss: 0.05699748173356056
epoch 27500  clean testing loss: 3.5396151542663574
epoch 27600  training loss: 0.056952252984046936
epoch 27600  clean testing loss: 3.5425169467926025
epoch 27700  training loss: 0.056901901960372925
epoch 27700  clean testing loss: 3.545163631439209
epoch 27800  training loss: 0.05685378611087799
epoch 27800  clean testing loss: 3.5479607582092285
epoch 27900  training loss: 0.05680609866976738
epoch 27900  clean testing loss: 3.550912618637085
epoch 28000  training loss: 0.05675849691033363
epoch 28000  clean testing loss: 3.553816795349121
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise7.00e-01_invop0 ...
epoch 28100  training loss: 0.056711237877607346
epoch 28100  clean testing loss: 3.556796073913574
epoch 28200  training loss: 0.056667353957891464

 29%|███████████████████████▎                                                       | 29484/100000 [01:05<01:53, 621.49it/s]
epoch 28300  training loss: 0.05661701783537865
epoch 28300  clean testing loss: 3.5628559589385986
epoch 28400  training loss: 0.056571587920188904
epoch 28400  clean testing loss: 3.5661001205444336
epoch 28500  training loss: 0.05652514845132828
epoch 28500  clean testing loss: 3.56888747215271
epoch 28600  training loss: 0.05647863447666168
epoch 28600  clean testing loss: 3.572080135345459
epoch 28700  training loss: 0.05643075704574585
epoch 28700  clean testing loss: 3.575195074081421
epoch 28800  training loss: 0.05638425052165985
epoch 28800  clean testing loss: 3.5784318447113037
epoch 28900  training loss: 0.056338801980018616
epoch 28900  clean testing loss: 3.58164119720459
epoch 29000  training loss: 0.05629914626479149
epoch 29000  clean testing loss: 3.5850043296813965
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise7.00e-01_invop0 ...
epoch 29100  training loss: 0.05624716728925705
epoch 29100  clean testing loss: 3.5880086421966553
epoch 29200  training loss: 0.0562010295689106
epoch 29200  clean testing loss: 3.5912530422210693
epoch 29300  training loss: 0.0561557337641716
epoch 29300  clean testing loss: 3.5945611000061035
epoch 29400  training loss: 0.05611083284020424
epoch 29400  clean testing loss: 3.5978405475616455
epoch 29500  training loss: 0.056065741926431656

 31%|████████████████████████▎                                                      | 30738/100000 [01:07<01:50, 625.85it/s]
epoch 29600  training loss: 0.05602111294865608
epoch 29600  clean testing loss: 3.6043307781219482
epoch 29700  training loss: 0.055976126343011856
epoch 29700  clean testing loss: 3.6077609062194824
epoch 29800  training loss: 0.05593976005911827
epoch 29800  clean testing loss: 3.6107959747314453
epoch 29900  training loss: 0.05588921159505844
epoch 29900  clean testing loss: 3.614185333251953
epoch 30000  training loss: 0.05584666505455971
epoch 30000  clean testing loss: 3.617711067199707
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise7.00e-01_invop0 ...
epoch 30100  training loss: 0.055807773023843765
epoch 30100  clean testing loss: 3.6203746795654297
epoch 30200  training loss: 0.05577238276600838
epoch 30200  clean testing loss: 3.623051404953003
epoch 30300  training loss: 0.055736806243658066
epoch 30300  clean testing loss: 3.625683307647705
epoch 30400  training loss: 0.05570118874311447
epoch 30400  clean testing loss: 3.6282906532287598
epoch 30500  training loss: 0.05566546693444252
epoch 30500  clean testing loss: 3.630870819091797
epoch 30600  training loss: 0.05562948063015938
epoch 30600  clean testing loss: 3.6334776878356934
epoch 30700  training loss: 0.055593691766262054

 32%|█████████████████████████▏                                                     | 31935/100000 [01:09<01:49, 623.88it/s]
epoch 30800  training loss: 0.05555808171629906
epoch 30800  clean testing loss: 3.6386964321136475
epoch 30900  training loss: 0.0555231049656868
epoch 30900  clean testing loss: 3.6413331031799316
epoch 31000  training loss: 0.055486660450696945
epoch 31000  clean testing loss: 3.6440539360046387
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise7.00e-01_invop0 ...
epoch 31100  training loss: 0.05545096844434738
epoch 31100  clean testing loss: 3.6467583179473877
epoch 31200  training loss: 0.05541560798883438
epoch 31200  clean testing loss: 3.6494948863983154
epoch 31300  training loss: 0.05538177862763405
epoch 31300  clean testing loss: 3.652256965637207
epoch 31400  training loss: 0.055345069617033005
epoch 31400  clean testing loss: 3.6549932956695557
epoch 31500  training loss: 0.05530986189842224
epoch 31500  clean testing loss: 3.657686233520508
epoch 31600  training loss: 0.05527467653155327
epoch 31600  clean testing loss: 3.660362958908081
epoch 31700  training loss: 0.055239636451005936
epoch 31700  clean testing loss: 3.663052797317505
epoch 31800  training loss: 0.05521031469106674
epoch 31800  clean testing loss: 3.665571928024292
epoch 31900  training loss: 0.055169664323329926
epoch 31900  clean testing loss: 3.6684412956237793
epoch 32000  training loss: 0.05513575300574303
epoch 32000  clean testing loss: 3.6710197925567627

 33%|██████████████████████████▏                                                    | 33193/100000 [01:11<01:47, 620.71it/s]
epoch 32100  training loss: 0.05510035902261734
epoch 32100  clean testing loss: 3.6738834381103516
epoch 32200  training loss: 0.05506515875458717
epoch 32200  clean testing loss: 3.676530361175537
epoch 32300  training loss: 0.05503041297197342
epoch 32300  clean testing loss: 3.6791939735412598
epoch 32400  training loss: 0.05499577894806862
epoch 32400  clean testing loss: 3.6818408966064453
epoch 32500  training loss: 0.05496137589216232
epoch 32500  clean testing loss: 3.684504508972168
epoch 32600  training loss: 0.05492677539587021
epoch 32600  clean testing loss: 3.687150716781616
epoch 32700  training loss: 0.05489245429635048
epoch 32700  clean testing loss: 3.689826250076294
epoch 32800  training loss: 0.05485791340470314
epoch 32800  clean testing loss: 3.692462682723999
epoch 32900  training loss: 0.054823655635118484
epoch 32900  clean testing loss: 3.695063829421997
epoch 33000  training loss: 0.05478943884372711
epoch 33000  clean testing loss: 3.6976583003997803
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise7.00e-01_invop0 ...
epoch 33100  training loss: 0.05476156994700432
epoch 33100  clean testing loss: 3.699805498123169
epoch 33200  training loss: 0.054733872413635254

 34%|███████████████████████████▏                                                   | 34452/100000 [01:13<01:45, 621.69it/s]
epoch 33300  training loss: 0.05470600724220276
epoch 33300  clean testing loss: 3.7038779258728027
epoch 33400  training loss: 0.05467788130044937
epoch 33400  clean testing loss: 3.705850601196289
epoch 33500  training loss: 0.054649900645017624
epoch 33500  clean testing loss: 3.7078075408935547
epoch 33600  training loss: 0.054621245712041855
epoch 33600  clean testing loss: 3.7096946239471436
epoch 33700  training loss: 0.054592832922935486
epoch 33700  clean testing loss: 3.711667537689209
epoch 33800  training loss: 0.054564449936151505
epoch 33800  clean testing loss: 3.7136569023132324
epoch 33900  training loss: 0.054536424577236176
epoch 33900  clean testing loss: 3.7156927585601807
epoch 34000  training loss: 0.05450805649161339
epoch 34000  clean testing loss: 3.7175650596618652
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise7.00e-01_invop0 ...
epoch 34100  training loss: 0.05447955057024956
epoch 34100  clean testing loss: 3.7195870876312256
epoch 34200  training loss: 0.054451197385787964
epoch 34200  clean testing loss: 3.721583843231201
epoch 34300  training loss: 0.0544230155646801
epoch 34300  clean testing loss: 3.7235515117645264
epoch 34400  training loss: 0.05439494177699089

 36%|████████████████████████████▏                                                  | 35711/100000 [01:15<01:43, 622.14it/s]
epoch 34500  training loss: 0.05436752736568451
epoch 34500  clean testing loss: 3.727614402770996
epoch 34600  training loss: 0.054339393973350525
epoch 34600  clean testing loss: 3.729553699493408
epoch 34700  training loss: 0.05431089550256729
epoch 34700  clean testing loss: 3.7316393852233887
epoch 34800  training loss: 0.0542830228805542
epoch 34800  clean testing loss: 3.7336559295654297
epoch 34900  training loss: 0.054255127906799316
epoch 34900  clean testing loss: 3.7356832027435303
epoch 35000  training loss: 0.05422836169600487
epoch 35000  clean testing loss: 3.7376389503479004
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise7.00e-01_invop0 ...
epoch 35100  training loss: 0.054203376173973083
epoch 35100  clean testing loss: 3.7399680614471436
epoch 35200  training loss: 0.054172221571207047
epoch 35200  clean testing loss: 3.7418863773345947
epoch 35300  training loss: 0.05414476618170738
epoch 35300  clean testing loss: 3.7439374923706055
epoch 35400  training loss: 0.05411744862794876
epoch 35400  clean testing loss: 3.7459850311279297
epoch 35500  training loss: 0.054090093821287155
epoch 35500  clean testing loss: 3.7480266094207764
epoch 35600  training loss: 0.054062772542238235
epoch 35600  clean testing loss: 3.7501556873321533
epoch 35700  training loss: 0.05403704196214676

 37%|█████████████████████████████▏                                                 | 36969/100000 [01:17<01:41, 621.76it/s]
epoch 35800  training loss: 0.054008495062589645
epoch 35800  clean testing loss: 3.7542669773101807
epoch 35900  training loss: 0.053981561213731766
epoch 35900  clean testing loss: 3.756319284439087
epoch 36000  training loss: 0.053954675793647766
epoch 36000  clean testing loss: 3.7583765983581543
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise7.00e-01_invop0 ...
epoch 36100  training loss: 0.053933098912239075
epoch 36100  clean testing loss: 3.7600510120391846
epoch 36200  training loss: 0.05391136556863785
epoch 36200  clean testing loss: 3.761683940887451
epoch 36300  training loss: 0.05388958752155304
epoch 36300  clean testing loss: 3.7632853984832764
epoch 36400  training loss: 0.05386776104569435
epoch 36400  clean testing loss: 3.764863967895508
epoch 36500  training loss: 0.05384569242596626
epoch 36500  clean testing loss: 3.7664225101470947
epoch 36600  training loss: 0.053823620080947876
epoch 36600  clean testing loss: 3.7679851055145264
epoch 36700  training loss: 0.05380161479115486
epoch 36700  clean testing loss: 3.769590377807617
epoch 36800  training loss: 0.05377958342432976
epoch 36800  clean testing loss: 3.7711706161499023
epoch 36900  training loss: 0.05375762656331062

 38%|██████████████████████████████▏                                                | 38159/100000 [01:19<01:39, 618.54it/s]
epoch 37000  training loss: 0.053737446665763855
epoch 37000  clean testing loss: 3.774205207824707
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise7.00e-01_invop0 ...
epoch 37100  training loss: 0.05371413379907608
epoch 37100  clean testing loss: 3.775890827178955
epoch 37200  training loss: 0.05369219928979874
epoch 37200  clean testing loss: 3.777461051940918
epoch 37300  training loss: 0.05367007106542587
epoch 37300  clean testing loss: 3.77912974357605
epoch 37400  training loss: 0.053648289293050766
epoch 37400  clean testing loss: 3.780742645263672
epoch 37500  training loss: 0.05362975597381592
epoch 37500  clean testing loss: 3.7823710441589355
epoch 37600  training loss: 0.05360525846481323
epoch 37600  clean testing loss: 3.783944845199585
epoch 37700  training loss: 0.0535837821662426
epoch 37700  clean testing loss: 3.7854971885681152
epoch 37800  training loss: 0.05356575548648834
epoch 37800  clean testing loss: 3.786888360977173
epoch 37900  training loss: 0.053540125489234924
epoch 37900  clean testing loss: 3.788562059402466
epoch 38000  training loss: 0.053522881120443344
epoch 38000  clean testing loss: 3.790250778198242
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise7.00e-01_invop0 ...
epoch 38100  training loss: 0.05350050702691078
epoch 38100  clean testing loss: 3.7918167114257812
epoch 38200  training loss: 0.05347580090165138

 39%|███████████████████████████████▏                                               | 39418/100000 [01:21<01:37, 620.70it/s]
epoch 38300  training loss: 0.0534556545317173
epoch 38300  clean testing loss: 3.7946877479553223
epoch 38400  training loss: 0.053433217108249664
epoch 38400  clean testing loss: 3.7962698936462402
epoch 38500  training loss: 0.05341218784451485
epoch 38500  clean testing loss: 3.797762393951416
epoch 38600  training loss: 0.05339054763317108
epoch 38600  clean testing loss: 3.79931640625
epoch 38700  training loss: 0.05336936563253403
epoch 38700  clean testing loss: 3.800809621810913
epoch 38800  training loss: 0.053348179906606674
epoch 38800  clean testing loss: 3.802290201187134
epoch 38900  training loss: 0.05332706868648529
epoch 38900  clean testing loss: 3.803774833679199
epoch 39000  training loss: 0.05330606922507286
epoch 39000  clean testing loss: 3.8052382469177246
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise7.00e-01_invop0 ...
epoch 39100  training loss: 0.053289126604795456
epoch 39100  clean testing loss: 3.806429624557495
epoch 39200  training loss: 0.05327218770980835
epoch 39200  clean testing loss: 3.807572841644287
epoch 39300  training loss: 0.053255099803209305
epoch 39300  clean testing loss: 3.8086812496185303
epoch 39400  training loss: 0.05323788523674011

 40%|███████████████████████████████▌                                               | 39900/100000 [01:22<02:04, 483.67it/s]
epoch 39500  training loss: 0.05322074890136719
epoch 39500  clean testing loss: 3.810783624649048
epoch 39600  training loss: 0.05320339277386665
epoch 39600  clean testing loss: 3.811816453933716
epoch 39700  training loss: 0.0531860813498497
epoch 39700  clean testing loss: 3.8128693103790283
epoch 39800  training loss: 0.05316883325576782
epoch 39800  clean testing loss: 3.813889980316162
epoch 39900  training loss: 0.05315159261226654
epoch 39900  clean testing loss: 3.8149240016937256
Validation loss variation < 1e-6, trained to interpolation, stop
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise7.00e-01_invop0 ...
