
  0%|                                                                                                 | 0/100000 [00:00<?, ?it/s]
epoch 26300  training loss: 0.04055217280983925
epoch 26300  clean testing loss: 0.09427684545516968
epoch 26400  training loss: 0.04049115628004074
epoch 26400  clean testing loss: 0.09587163478136063
epoch 26500  training loss: 0.03960270807147026
epoch 26500  clean testing loss: 0.09484496712684631
epoch 26600  training loss: 0.039321109652519226

 27%|██████████████████████▉                                                             | 27272/100000 [01:26<03:42, 326.74it/s]
epoch 26700  training loss: 0.039836395531892776
epoch 26700  clean testing loss: 0.09524530917406082
epoch 26800  training loss: 0.03905192017555237
epoch 26800  clean testing loss: 0.0951666384935379
epoch 26900  training loss: 0.03909619152545929
epoch 26900  clean testing loss: 0.09466762840747833
epoch 27000  training loss: 0.03881156072020531
epoch 27000  clean testing loss: 0.09523684531450272
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 27100  training loss: 0.03878013789653778
epoch 27100  clean testing loss: 0.09543837606906891
epoch 27200  training loss: 0.03867143765091896

 28%|███████████████████████▍                                                            | 27935/100000 [01:28<03:38, 329.32it/s]
epoch 27300  training loss: 0.038599446415901184
epoch 27300  clean testing loss: 0.09705808758735657
epoch 27400  training loss: 0.038499727845191956
epoch 27400  clean testing loss: 0.09736363589763641
epoch 27500  training loss: 0.0385575108230114
epoch 27500  clean testing loss: 0.09692033380270004
epoch 27600  training loss: 0.03844096139073372
epoch 27600  clean testing loss: 0.0978861078619957
epoch 27700  training loss: 0.038527507334947586
epoch 27700  clean testing loss: 0.09675178676843643
epoch 27800  training loss: 0.038730137050151825
epoch 27800  clean testing loss: 0.09788942337036133
epoch 27900  training loss: 0.03831316530704498

 29%|███████████████████████▉                                                            | 28565/100000 [01:30<03:38, 326.53it/s]
epoch 28000  training loss: 0.03962096571922302
epoch 28000  clean testing loss: 0.10079767554998398
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 28100  training loss: 0.03818821161985397
epoch 28100  clean testing loss: 0.09847982227802277
epoch 28200  training loss: 0.03845660760998726
epoch 28200  clean testing loss: 0.09831821173429489
epoch 28300  training loss: 0.03796989843249321
epoch 28300  clean testing loss: 0.09887494146823883
epoch 28400  training loss: 0.038193583488464355
epoch 28400  clean testing loss: 0.10006009042263031
epoch 28500  training loss: 0.03785630315542221

 29%|████████████████████████▌                                                           | 29227/100000 [01:32<03:37, 325.53it/s]
epoch 28600  training loss: 0.03786195442080498
epoch 28600  clean testing loss: 0.10012830048799515
epoch 28700  training loss: 0.03767826035618782
epoch 28700  clean testing loss: 0.09981478750705719
epoch 28800  training loss: 0.037821006029844284
epoch 28800  clean testing loss: 0.09988983720541
epoch 28900  training loss: 0.03781627118587494
epoch 28900  clean testing loss: 0.09994670003652573
epoch 29000  training loss: 0.0395655520260334
epoch 29000  clean testing loss: 0.10120011121034622
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 29100  training loss: 0.03759538382291794
epoch 29100  clean testing loss: 0.1004277765750885
epoch 29200  training loss: 0.03789789229631424

 30%|█████████████████████████                                                           | 29891/100000 [01:34<03:33, 328.34it/s]
epoch 29300  training loss: 0.03767913579940796
epoch 29300  clean testing loss: 0.1006869524717331
epoch 29400  training loss: 0.03743690624833107
epoch 29400  clean testing loss: 0.10117384046316147
epoch 29500  training loss: 0.03764908388257027
epoch 29500  clean testing loss: 0.10124797374010086
epoch 29600  training loss: 0.03771645575761795
epoch 29600  clean testing loss: 0.10160961747169495
epoch 29700  training loss: 0.03753937780857086
epoch 29700  clean testing loss: 0.10156320035457611
epoch 29800  training loss: 0.037450775504112244

 31%|█████████████████████████▋                                                          | 30523/100000 [01:36<03:32, 326.58it/s]
epoch 29900  training loss: 0.037378840148448944
epoch 29900  clean testing loss: 0.1020609512925148
epoch 30000  training loss: 0.037299271672964096
epoch 30000  clean testing loss: 0.10241083055734634
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 30100  training loss: 0.03723660483956337
epoch 30100  clean testing loss: 0.10263478755950928
epoch 30200  training loss: 0.037017688155174255
epoch 30200  clean testing loss: 0.10236658155918121
epoch 30300  training loss: 0.037115395069122314
epoch 30300  clean testing loss: 0.10252508521080017
epoch 30400  training loss: 0.03697817400097847
epoch 30400  clean testing loss: 0.10329445451498032
epoch 30500  training loss: 0.036916375160217285

 31%|██████████████████████████▏                                                         | 31185/100000 [01:38<03:31, 325.33it/s]
epoch 30600  training loss: 0.03691547363996506
epoch 30600  clean testing loss: 0.10364662855863571
epoch 30700  training loss: 0.036918945610523224
epoch 30700  clean testing loss: 0.10349830985069275
epoch 30800  training loss: 0.03808528557419777
epoch 30800  clean testing loss: 0.10423307120800018
epoch 30900  training loss: 0.0368540994822979
epoch 30900  clean testing loss: 0.10394324362277985
epoch 31000  training loss: 0.03705005347728729
epoch 31000  clean testing loss: 0.10421133041381836
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 31100  training loss: 0.03665308281779289

 32%|██████████████████████████▊                                                         | 31850/100000 [01:40<03:27, 328.70it/s]
epoch 31200  training loss: 0.036672838032245636
epoch 31200  clean testing loss: 0.10368071496486664
epoch 31300  training loss: 0.0368255078792572
epoch 31300  clean testing loss: 0.10403808206319809
epoch 31400  training loss: 0.03658203408122063
epoch 31400  clean testing loss: 0.10404551029205322
epoch 31500  training loss: 0.036646150052547455
epoch 31500  clean testing loss: 0.10437682271003723
epoch 31600  training loss: 0.03656774386763573
epoch 31600  clean testing loss: 0.1045878678560257
epoch 31700  training loss: 0.037837639451026917
epoch 31700  clean testing loss: 0.10505916178226471
epoch 31800  training loss: 0.03655970096588135

 32%|███████████████████████████▎                                                        | 32479/100000 [01:42<03:27, 324.96it/s]
epoch 31900  training loss: 0.03640679270029068
epoch 31900  clean testing loss: 0.10495824366807938
epoch 32000  training loss: 0.03660055994987488
epoch 32000  clean testing loss: 0.10525273531675339
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 32100  training loss: 0.03639591485261917
epoch 32100  clean testing loss: 0.1050311028957367
epoch 32200  training loss: 0.03666166961193085
epoch 32200  clean testing loss: 0.10519194602966309
epoch 32300  training loss: 0.03658794239163399
epoch 32300  clean testing loss: 0.10558151453733444
epoch 32400  training loss: 0.036775004118680954

 33%|███████████████████████████▊                                                        | 33143/100000 [01:44<03:24, 326.51it/s]
epoch 32500  training loss: 0.03652012720704079
epoch 32500  clean testing loss: 0.10497914254665375
epoch 32600  training loss: 0.03626560419797897
epoch 32600  clean testing loss: 0.1067088395357132
epoch 32700  training loss: 0.036316871643066406
epoch 32700  clean testing loss: 0.10534545034170151
epoch 32800  training loss: 0.037837155163288116
epoch 32800  clean testing loss: 0.10583703219890594
epoch 32900  training loss: 0.036169495433568954
epoch 32900  clean testing loss: 0.10632730275392532
epoch 33000  training loss: 0.036416638642549515
epoch 33000  clean testing loss: 0.10559441894292831
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 33100  training loss: 0.036083824932575226

 34%|████████████████████████████▍                                                       | 33808/100000 [01:46<03:22, 327.19it/s]
epoch 33200  training loss: 0.03595661744475365
epoch 33200  clean testing loss: 0.106326162815094
epoch 33300  training loss: 0.035985857248306274
epoch 33300  clean testing loss: 0.10655320435762405
epoch 33400  training loss: 0.035983096808195114
epoch 33400  clean testing loss: 0.1060662567615509
epoch 33500  training loss: 0.03591132164001465
epoch 33500  clean testing loss: 0.10613556206226349
epoch 33600  training loss: 0.03591228649020195
epoch 33600  clean testing loss: 0.10699833929538727
epoch 33700  training loss: 0.03590962290763855

 34%|████████████████████████████▉                                                       | 34437/100000 [01:48<03:20, 327.24it/s]
epoch 33800  training loss: 0.03637133911252022
epoch 33800  clean testing loss: 0.10770637542009354
epoch 33900  training loss: 0.03588547930121422
epoch 33900  clean testing loss: 0.10669194906949997
epoch 34000  training loss: 0.03591781482100487
epoch 34000  clean testing loss: 0.10702099651098251
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 34100  training loss: 0.03601162135601044
epoch 34100  clean testing loss: 0.10653509199619293
epoch 34200  training loss: 0.03569311276078224
epoch 34200  clean testing loss: 0.10703548043966293
epoch 34300  training loss: 0.035713713616132736
epoch 34300  clean testing loss: 0.1072012260556221
epoch 34400  training loss: 0.03594740480184555

 35%|█████████████████████████████▍                                                      | 35100/100000 [01:50<03:19, 325.57it/s]
epoch 34500  training loss: 0.03577491268515587
epoch 34500  clean testing loss: 0.10739551484584808
epoch 34600  training loss: 0.03562663868069649
epoch 34600  clean testing loss: 0.10749397426843643
epoch 34700  training loss: 0.03558560088276863
epoch 34700  clean testing loss: 0.10759446024894714
epoch 34800  training loss: 0.03566945716738701
epoch 34800  clean testing loss: 0.10797728598117828
epoch 34900  training loss: 0.03555406630039215
epoch 34900  clean testing loss: 0.10753723978996277
epoch 35000  training loss: 0.03554518148303032
epoch 35000  clean testing loss: 0.10751219838857651

 36%|██████████████████████████████                                                      | 35763/100000 [01:52<03:15, 328.15it/s]
epoch 35100  training loss: 0.0363280288875103
epoch 35100  clean testing loss: 0.10828404873609543
epoch 35200  training loss: 0.03548700734972954
epoch 35200  clean testing loss: 0.10825683921575546
epoch 35300  training loss: 0.03588986396789551
epoch 35300  clean testing loss: 0.10849229991436005
epoch 35400  training loss: 0.03543950617313385
epoch 35400  clean testing loss: 0.10776185244321823
epoch 35500  training loss: 0.03586798161268234
epoch 35500  clean testing loss: 0.10836254805326462
epoch 35600  training loss: 0.03547396510839462
epoch 35600  clean testing loss: 0.10853155702352524
epoch 35700  training loss: 0.03534114360809326

 36%|██████████████████████████████▌                                                     | 36427/100000 [01:54<03:14, 327.02it/s]
epoch 35800  training loss: 0.035367969423532486
epoch 35800  clean testing loss: 0.10832521319389343
epoch 35900  training loss: 0.03549933061003685
epoch 35900  clean testing loss: 0.10832703113555908
epoch 36000  training loss: 0.035407718271017075
epoch 36000  clean testing loss: 0.10913344472646713
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 36100  training loss: 0.03536039963364601
epoch 36100  clean testing loss: 0.10906187444925308
epoch 36200  training loss: 0.03526827320456505
epoch 36200  clean testing loss: 0.10879175364971161
epoch 36300  training loss: 0.03516510874032974

 37%|███████████████████████████████▏                                                    | 37059/100000 [01:56<03:13, 325.68it/s]
epoch 36400  training loss: 0.0351216197013855
epoch 36400  clean testing loss: 0.1090279147028923
epoch 36500  training loss: 0.03552583232522011
epoch 36500  clean testing loss: 0.10911443084478378
epoch 36600  training loss: 0.0351526252925396
epoch 36600  clean testing loss: 0.10932496935129166
epoch 36700  training loss: 0.03555205836892128
epoch 36700  clean testing loss: 0.11029829829931259
epoch 36800  training loss: 0.03519899398088455
epoch 36800  clean testing loss: 0.1094316765666008
epoch 36900  training loss: 0.03519095852971077
epoch 36900  clean testing loss: 0.10913463681936264
epoch 37000  training loss: 0.03501110151410103
epoch 37000  clean testing loss: 0.11027450859546661

 38%|███████████████████████████████▋                                                    | 37721/100000 [01:58<03:10, 326.29it/s]
epoch 37100  training loss: 0.03503597900271416
epoch 37100  clean testing loss: 0.10952332615852356
epoch 37200  training loss: 0.03523346781730652
epoch 37200  clean testing loss: 0.10986331850290298
epoch 37300  training loss: 0.035297662019729614
epoch 37300  clean testing loss: 0.11045452952384949
epoch 37400  training loss: 0.034926820546388626
epoch 37400  clean testing loss: 0.10972899943590164
epoch 37500  training loss: 0.03492533043026924
epoch 37500  clean testing loss: 0.10945810377597809
epoch 37600  training loss: 0.03500611335039139

 38%|████████████████████████████████▏                                                   | 38383/100000 [02:00<03:09, 325.78it/s]
epoch 37700  training loss: 0.03494691476225853
epoch 37700  clean testing loss: 0.11001478135585785
epoch 37800  training loss: 0.03486272320151329
epoch 37800  clean testing loss: 0.10955066978931427
epoch 37900  training loss: 0.03516194969415665
epoch 37900  clean testing loss: 0.1102774441242218
epoch 38000  training loss: 0.03475957736372948
epoch 38000  clean testing loss: 0.10924442112445831
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 38100  training loss: 0.03510766476392746
epoch 38100  clean testing loss: 0.1106511577963829
epoch 38200  training loss: 0.034775085747241974
epoch 38200  clean testing loss: 0.11085711419582367
epoch 38300  training loss: 0.034706953912973404

 39%|████████████████████████████████▊                                                   | 39014/100000 [02:02<03:07, 324.67it/s]
epoch 38400  training loss: 0.03464698791503906
epoch 38400  clean testing loss: 0.10981105268001556
epoch 38500  training loss: 0.0348798967897892
epoch 38500  clean testing loss: 0.11039315909147263
epoch 38600  training loss: 0.034681301563978195
epoch 38600  clean testing loss: 0.11119705438613892
epoch 38700  training loss: 0.03463734686374664
epoch 38700  clean testing loss: 0.1107180193066597
epoch 38800  training loss: 0.03510051965713501
epoch 38800  clean testing loss: 0.11073196679353714
epoch 38900  training loss: 0.03466470539569855

 40%|█████████████████████████████████▎                                                  | 39677/100000 [02:04<03:04, 326.09it/s]
epoch 39000  training loss: 0.03500690311193466
epoch 39000  clean testing loss: 0.11054518818855286
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 39100  training loss: 0.03459567204117775
epoch 39100  clean testing loss: 0.11069058626890182
epoch 39200  training loss: 0.0345388799905777
epoch 39200  clean testing loss: 0.11069220304489136
epoch 39300  training loss: 0.034424927085638046
epoch 39300  clean testing loss: 0.11083920300006866
epoch 39400  training loss: 0.034408800303936005
epoch 39400  clean testing loss: 0.11058715730905533
epoch 39500  training loss: 0.03446836769580841
epoch 39500  clean testing loss: 0.1108349934220314
epoch 39600  training loss: 0.03439145162701607

 40%|█████████████████████████████████▉                                                  | 40342/100000 [02:06<03:02, 326.59it/s]
epoch 39700  training loss: 0.034457527101039886
epoch 39700  clean testing loss: 0.11089791357517242
epoch 39800  training loss: 0.03438909351825714
epoch 39800  clean testing loss: 0.11087504774332047
epoch 39900  training loss: 0.03429846838116646
epoch 39900  clean testing loss: 0.111285500228405
epoch 40000  training loss: 0.03440406918525696
epoch 40000  clean testing loss: 0.1110893115401268
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 40100  training loss: 0.03442914038896561
epoch 40100  clean testing loss: 0.11130281537771225
epoch 40200  training loss: 0.034348711371421814

 41%|██████████████████████████████████▍                                                 | 40970/100000 [02:08<03:01, 326.05it/s]
epoch 40300  training loss: 0.03429928794503212
epoch 40300  clean testing loss: 0.11144273728132248
epoch 40400  training loss: 0.03431679680943489
epoch 40400  clean testing loss: 0.11148994415998459
epoch 40500  training loss: 0.034219563007354736
epoch 40500  clean testing loss: 0.11152593046426773
epoch 40600  training loss: 0.0343361422419548
epoch 40600  clean testing loss: 0.11167775839567184
epoch 40700  training loss: 0.03424696624279022
epoch 40700  clean testing loss: 0.11187344044446945
epoch 40800  training loss: 0.034263186156749725
epoch 40800  clean testing loss: 0.1114039495587349
epoch 40900  training loss: 0.03446581959724426

 42%|██████████████████████████████████▉                                                 | 41635/100000 [02:10<02:56, 330.08it/s]
epoch 41000  training loss: 0.03434031084179878
epoch 41000  clean testing loss: 0.11183129251003265
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 41100  training loss: 0.034141965210437775
epoch 41100  clean testing loss: 0.11206205934286118
epoch 41200  training loss: 0.03422065079212189
epoch 41200  clean testing loss: 0.11206396669149399
epoch 41300  training loss: 0.034078653901815414
epoch 41300  clean testing loss: 0.1120469868183136
epoch 41400  training loss: 0.03465350344777107
epoch 41400  clean testing loss: 0.11315985769033432
epoch 41500  training loss: 0.03420419618487358

 42%|███████████████████████████████████▌                                                | 42303/100000 [02:12<02:55, 328.38it/s]
epoch 41600  training loss: 0.03410666808485985
epoch 41600  clean testing loss: 0.11198865622282028
epoch 41700  training loss: 0.034060705453157425
epoch 41700  clean testing loss: 0.1119777262210846
epoch 41800  training loss: 0.034142181277275085
epoch 41800  clean testing loss: 0.1129191666841507
epoch 41900  training loss: 0.03408324718475342
epoch 41900  clean testing loss: 0.11227460205554962
epoch 42000  training loss: 0.03420555964112282
epoch 42000  clean testing loss: 0.1127297431230545
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 42100  training loss: 0.033966295421123505
epoch 42100  clean testing loss: 0.11260433495044708
epoch 42200  training loss: 0.03393533453345299

 43%|████████████████████████████████████                                                | 42933/100000 [02:14<02:54, 326.69it/s]
epoch 42300  training loss: 0.03390757367014885
epoch 42300  clean testing loss: 0.11260262876749039
epoch 42400  training loss: 0.033895235508680344
epoch 42400  clean testing loss: 0.11243408918380737
epoch 42500  training loss: 0.033866722136735916
epoch 42500  clean testing loss: 0.11280661076307297
epoch 42600  training loss: 0.033989809453487396
epoch 42600  clean testing loss: 0.1134890764951706
epoch 42700  training loss: 0.03385525196790695
epoch 42700  clean testing loss: 0.1130177229642868
epoch 42800  training loss: 0.033859312534332275
epoch 42800  clean testing loss: 0.11334790289402008
epoch 42900  training loss: 0.03383905813097954

 44%|████████████████████████████████████▌                                               | 43595/100000 [02:16<02:52, 326.46it/s]
epoch 43000  training loss: 0.034192197024822235
epoch 43000  clean testing loss: 0.11351244151592255
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 43100  training loss: 0.033797070384025574
epoch 43100  clean testing loss: 0.1131773442029953
epoch 43200  training loss: 0.033948611468076706
epoch 43200  clean testing loss: 0.11342868208885193
epoch 43300  training loss: 0.03383921831846237
epoch 43300  clean testing loss: 0.11363931745290756
epoch 43400  training loss: 0.033792801201343536
epoch 43400  clean testing loss: 0.1135241761803627
epoch 43500  training loss: 0.03386843204498291

 44%|█████████████████████████████████████▏                                              | 44258/100000 [02:18<02:51, 325.90it/s]
epoch 43600  training loss: 0.033737845718860626
epoch 43600  clean testing loss: 0.11367009580135345
epoch 43700  training loss: 0.03379897028207779
epoch 43700  clean testing loss: 0.1134723573923111
epoch 43800  training loss: 0.03372665122151375
epoch 43800  clean testing loss: 0.11363464593887329
epoch 43900  training loss: 0.03371775150299072
epoch 43900  clean testing loss: 0.11403122544288635
epoch 44000  training loss: 0.03366609290242195
epoch 44000  clean testing loss: 0.11372747272253036
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 44100  training loss: 0.033778611570596695
epoch 44100  clean testing loss: 0.1139601543545723
epoch 44200  training loss: 0.033788051456213

 45%|█████████████████████████████████████▋                                              | 44924/100000 [02:20<02:47, 328.27it/s]
epoch 44300  training loss: 0.03362404182553291
epoch 44300  clean testing loss: 0.11376339197158813
epoch 44400  training loss: 0.03362174332141876
epoch 44400  clean testing loss: 0.11425317078828812
epoch 44500  training loss: 0.03358790650963783
epoch 44500  clean testing loss: 0.1141456589102745
epoch 44600  training loss: 0.033556319773197174
epoch 44600  clean testing loss: 0.11426876485347748
epoch 44700  training loss: 0.03363135829567909
epoch 44700  clean testing loss: 0.11461388319730759
epoch 44800  training loss: 0.033692482858896255

 46%|██████████████████████████████████████▎                                             | 45557/100000 [02:22<02:46, 326.83it/s]
epoch 44900  training loss: 0.033537015318870544
epoch 44900  clean testing loss: 0.11436736583709717
epoch 45000  training loss: 0.03363930061459541
epoch 45000  clean testing loss: 0.11454462260007858
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 45100  training loss: 0.033479850739240646
epoch 45100  clean testing loss: 0.11408863216638565
epoch 45200  training loss: 0.03347444906830788
epoch 45200  clean testing loss: 0.11443392187356949
epoch 45300  training loss: 0.03348316252231598
epoch 45300  clean testing loss: 0.11436881124973297
epoch 45400  training loss: 0.03344269096851349
epoch 45400  clean testing loss: 0.11461557447910309
epoch 45500  training loss: 0.033517517149448395

 46%|██████████████████████████████████████▊                                             | 46223/100000 [02:24<02:44, 327.11it/s]
epoch 45600  training loss: 0.03350267559289932
epoch 45600  clean testing loss: 0.11499018222093582
epoch 45700  training loss: 0.0334961861371994
epoch 45700  clean testing loss: 0.11516838520765305
epoch 45800  training loss: 0.03342413529753685
epoch 45800  clean testing loss: 0.11478883028030396
epoch 45900  training loss: 0.03334938362240791
epoch 45900  clean testing loss: 0.11485835909843445
epoch 46000  training loss: 0.033360086381435394
epoch 46000  clean testing loss: 0.11482461541891098
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 46100  training loss: 0.033498939126729965

 47%|███████████████████████████████████████▍                                            | 46887/100000 [02:26<02:41, 327.91it/s]
epoch 46200  training loss: 0.03344270959496498
epoch 46200  clean testing loss: 0.11496372520923615
epoch 46300  training loss: 0.03346611186861992
epoch 46300  clean testing loss: 0.11515804380178452
epoch 46400  training loss: 0.03339412063360214
epoch 46400  clean testing loss: 0.11537861824035645
epoch 46500  training loss: 0.03329817205667496
epoch 46500  clean testing loss: 0.11512163281440735
epoch 46600  training loss: 0.033392999321222305
epoch 46600  clean testing loss: 0.11528292298316956
epoch 46700  training loss: 0.033305004239082336
epoch 46700  clean testing loss: 0.11578626930713654
epoch 46800  training loss: 0.03331818804144859

 48%|███████████████████████████████████████▉                                            | 47518/100000 [02:28<02:39, 329.09it/s]
epoch 46900  training loss: 0.03344958648085594
epoch 46900  clean testing loss: 0.11586423218250275
epoch 47000  training loss: 0.03327496349811554
epoch 47000  clean testing loss: 0.11567087471485138
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 47100  training loss: 0.033289968967437744
epoch 47100  clean testing loss: 0.11574580520391464
epoch 47200  training loss: 0.03320985659956932
epoch 47200  clean testing loss: 0.1156185045838356
epoch 47300  training loss: 0.033223383128643036
epoch 47300  clean testing loss: 0.11554863303899765
epoch 47400  training loss: 0.0332559309899807

 48%|████████████████████████████████████████▍                                           | 48182/100000 [02:30<02:37, 328.44it/s]
epoch 47500  training loss: 0.03323176130652428
epoch 47500  clean testing loss: 0.11631587892770767
epoch 47600  training loss: 0.03321196883916855
epoch 47600  clean testing loss: 0.11611148715019226
epoch 47700  training loss: 0.03323879837989807
epoch 47700  clean testing loss: 0.11589304357767105
epoch 47800  training loss: 0.033227648586034775
epoch 47800  clean testing loss: 0.11587012559175491
epoch 47900  training loss: 0.03316681087017059
epoch 47900  clean testing loss: 0.11594989895820618
epoch 48000  training loss: 0.033214304596185684
epoch 48000  clean testing loss: 0.11589105427265167
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 48100  training loss: 0.033107392489910126

 49%|█████████████████████████████████████████                                           | 48846/100000 [02:32<02:35, 328.05it/s]
epoch 48200  training loss: 0.03314179554581642
epoch 48200  clean testing loss: 0.11614345014095306
epoch 48300  training loss: 0.03312644362449646
epoch 48300  clean testing loss: 0.11648672074079514
epoch 48400  training loss: 0.03308769315481186
epoch 48400  clean testing loss: 0.11628428101539612
epoch 48500  training loss: 0.03305021673440933
epoch 48500  clean testing loss: 0.11616518348455429
epoch 48600  training loss: 0.033092185854911804
epoch 48600  clean testing loss: 0.11636145412921906
epoch 48700  training loss: 0.03306359425187111

 49%|█████████████████████████████████████████▌                                          | 49477/100000 [02:34<02:33, 328.81it/s]
epoch 48800  training loss: 0.033086564391851425
epoch 48800  clean testing loss: 0.11624279618263245
epoch 48900  training loss: 0.03310364857316017
epoch 48900  clean testing loss: 0.11636549979448318
epoch 49000  training loss: 0.03303057700395584
epoch 49000  clean testing loss: 0.11657010763883591
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 49100  training loss: 0.03305284306406975
epoch 49100  clean testing loss: 0.11656156182289124
epoch 49200  training loss: 0.03310692682862282
epoch 49200  clean testing loss: 0.1165359765291214
epoch 49300  training loss: 0.033000245690345764
epoch 49300  clean testing loss: 0.1164437010884285
epoch 49400  training loss: 0.03303398936986923

 50%|██████████████████████████████████████████                                          | 50140/100000 [02:36<02:33, 324.57it/s]
epoch 49500  training loss: 0.032974518835544586
epoch 49500  clean testing loss: 0.11670288443565369
epoch 49600  training loss: 0.032971061766147614
epoch 49600  clean testing loss: 0.11697949469089508
epoch 49700  training loss: 0.03299624100327492
epoch 49700  clean testing loss: 0.11699704825878143
epoch 49800  training loss: 0.033088717609643936
epoch 49800  clean testing loss: 0.1170402318239212
epoch 49900  training loss: 0.032912727445364
epoch 49900  clean testing loss: 0.11687078326940536
epoch 50000  training loss: 0.0329410620033741
epoch 50000  clean testing loss: 0.11728886514902115

 51%|██████████████████████████████████████████▋                                         | 50806/100000 [02:38<02:30, 326.56it/s]
epoch 50100  training loss: 0.03292602673172951
epoch 50100  clean testing loss: 0.11739189922809601
epoch 50200  training loss: 0.032906580716371536
epoch 50200  clean testing loss: 0.11698218435049057
epoch 50300  training loss: 0.03296482563018799
epoch 50300  clean testing loss: 0.1172284409403801
epoch 50400  training loss: 0.03294280171394348
epoch 50400  clean testing loss: 0.11719278991222382
epoch 50500  training loss: 0.032879143953323364
epoch 50500  clean testing loss: 0.11694547533988953
epoch 50600  training loss: 0.03285452723503113
epoch 50600  clean testing loss: 0.11746286600828171
epoch 50700  training loss: 0.03287423029541969

 51%|███████████████████████████████████████████▏                                        | 51468/100000 [02:40<02:28, 326.49it/s]
epoch 50800  training loss: 0.032976020127534866
epoch 50800  clean testing loss: 0.1174330785870552
epoch 50900  training loss: 0.0328650027513504
epoch 50900  clean testing loss: 0.1176300197839737
epoch 51000  training loss: 0.032829441130161285
epoch 51000  clean testing loss: 0.1175181195139885
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 51100  training loss: 0.032801926136016846
epoch 51100  clean testing loss: 0.1173783615231514
epoch 51200  training loss: 0.032781489193439484
epoch 51200  clean testing loss: 0.11699943989515305
epoch 51300  training loss: 0.032773010432720184

 52%|███████████████████████████████████████████▊                                        | 52097/100000 [02:42<02:27, 324.04it/s]
epoch 51400  training loss: 0.03279585763812065
epoch 51400  clean testing loss: 0.11741869151592255
epoch 51500  training loss: 0.03277797996997833
epoch 51500  clean testing loss: 0.11758076399564743
epoch 51600  training loss: 0.03276313096284866
epoch 51600  clean testing loss: 0.11770238727331161
epoch 51700  training loss: 0.03277245908975601
epoch 51700  clean testing loss: 0.11770445853471756
epoch 51800  training loss: 0.03274921700358391
epoch 51800  clean testing loss: 0.11787708103656769
epoch 51900  training loss: 0.032769396901130676
epoch 51900  clean testing loss: 0.11780313402414322
epoch 52000  training loss: 0.0327429361641407
epoch 52000  clean testing loss: 0.11797403544187546

 53%|████████████████████████████████████████████▎                                       | 52760/100000 [02:44<02:24, 325.84it/s]
epoch 52100  training loss: 0.03286302462220192
epoch 52100  clean testing loss: 0.11749237775802612
epoch 52200  training loss: 0.032692987471818924
epoch 52200  clean testing loss: 0.1179528534412384
